timestamp,tweet_text,username,all_hashtags,followers_count
2021-03-11 13:48:41,"b""Ukraine's KB Yuzhnoe design bureau held a meeting of leading designers to review the readiness of the Sich-2-1 remote-sensing satellite for launch in 2021 (on #SpaceX' #Falcon9 rocket): https://t.co/wdz3ufJEj5""",b'RussianSpaceWeb',"['SpaceX', 'Falcon9']",12858
2021-03-11 13:43:24,"b""Encore of this morning's early launch by #SpaceX with their Fantastic #Falcon9 delivering 60 internet broadband service satellites #Starlink   Quite happy with the way these came out. More in the @gospacelaunch article here -&gt; https://t.co/P569xWG0x5 https://t.co/IsHZPMAOVp""",b'therealjonvh',"['SpaceX', 'Falcon9', 'Starlink']",1741
2021-03-11 13:41:36,"b""Amazing colors of the flames of Starlink 20 launched this morning at 3:13am I've been working on this shot every dark launch Sony A7Riv 600mm ISO2500 1/250th sec  @SonyAlpha @SpaceX @SPACEdotcom @tariqjmalik @DaveMosher #spacex #starlink #florida https://t.co/MjMhC5C98O""",b'GregDieselPhoto',"['spacex', 'starlink', 'florida']",249
2021-03-11 13:35:04,b'My predictions once @elonmusk gets to Mars is having crypto as the main currency. #Future #Mars #SpaceX',b'JesseSuarez1',"['Future', 'Mars', 'SpaceX']",1010
2021-03-11 13:30:12,b'#SpaceX on the move! https://t.co/P488HWks77',b'AshmoreTrace',['SpaceX'],116
2021-03-11 13:28:08,b'SpaceX Falcon9 Launch &amp; Landing | Starlink-20 60 Satellites Mission https://t.co/GGbCbJSCSt via @YouTube  #SpaceX #Starlink #Falcon9 #Launch #Landing #Florida #ElonMusk #Starlink20 #internet https://t.co/KbWO3Ixd8N',b'googlevesaire',"['SpaceX', 'Starlink', 'Falcon9', 'Launch', 'Landing', 'Florida', 'ElonMusk', 'Starlink20', 'internet']",226
2021-03-11 13:27:02,b'This mornings successful #SpaceX #Starlink launch. #Falcon9 B1058 also made its 6th landing on drone ship JRTI!  Kind of what I was aiming for but definitely need practice with trails and launches \xf0\x9f\xa4\xa3 Also got a little trigger happy LOL   \xf0\x9f\x93\xb7: Me for @gospacelaunch https://t.co/5EpPdNuWeh',b'Star_Shattered',"['SpaceX', 'Starlink', 'Falcon9']",2576
2021-03-11 13:27:00,b'Elon Musk reveals why the SN10 Starship exploded https://t.co/PuQYUiysav #tech #feedly #spacex #science #space @PawlowskiMario @MargaretSiegien @jblefevre60 @Ym78200 @CurieuxExplorer',b'Nicochan33',"['tech', 'feedly', 'spacex', 'science', 'space']",86869
2021-03-11 13:24:49,b'Researchers create hybrid technology that combines III-V tunnel FETs and MOSFETs!  #tech #science #news #tbt #crypto #bitcoin #elon #biden #spacex https://t.co/MQZWjvwfkf',b'fyberus',"['tech', 'science', 'news', 'tbt', 'crypto', 'bitcoin', 'elon', 'biden', 'spacex']",142
2021-03-11 13:18:56,b'Wow! Beautiful shot. @10TV #10TV #WakeUpCbus #beautiful #weather #flwx #Starlinks #SpaceX @SpaceX https://t.co/PyhhzpD9yQ',b'jeffbooth10tv',"['10TV', 'WakeUpCbus', 'beautiful', 'weather', 'flwx', 'Starlinks', 'SpaceX']",3155
